Кампания,Стоимость,Цена за клик,Цена за конверсию,Цена за транзакцию,Доход от клика,Доход,Рентабельность инвестиций в рекламу
yd_orel_smart_banner_retargeting_new,"55105,20","48,68","725,07","0,00","0,34","0,00","0,71%"
yd_perm_couches_all-types_general_network_b,"54741,40","52,69","977,53","0,00","0,00","0,00","0,00%"
yd_ryz_mebel_all-types_network,"54642,10","42,46","748,52","0,00","0,00","0,00","0,00%"
yd_vlg_couches_kreslo_all-types_search,"53839,05","31,90","507,92","0,00","0,33","0,00","1,03%"
yd_vld_dsa_search,"53109,17","72,85","983,50","0,00","0,26","0,00","0,35%"
yd_tvr_couches_all-types_general_network,"52837,22","51,55","1100,78","0,00","0,02","0,00","0,03%"
yd_kal_couches_all-types_network_v4_old_ctr,"51522,50","16,25","1073,39","0,00","0,25","0,00","1,54%"
yd_nsk_dsa_pg_search,"51510,15","57,11","542,21","0,00","0,00","0,00","0,00%"
yd_ros_korpus_mebel_search,"50449,76","86,39","1051,04","0,00","0,00","0,00","0,00%"
yd_spb_couches_all-types_network_v4_ctr,"49677,59","53,59","558,18","0,00","0,00","0,00","0,00%"
yd_kra_bedroom_bed_general-words_search-v3,"49609,79","67,68","992,20","0,00","0,84","0,00","1,24%"
yd_yar_couches_all-types_general_network_a,"49318,70","50,53","1120,88","0,00","0,00","0,00","0,00%"
yd_msk_competitors_ikea_network_v3,"49005,35","84,78","368,46","0,00","1,15","0,00","1,36%"
yd_vld_brand_network-v2_ctr,"48934,37","15,62","1322,55","0,00","0,00","0,00","0,00%"
yd_msk_bed_generic_network_v5_ctr,"48698,41","81,16","559,75","0,00","2,42","0,00","2,98%"
yd_tul_couches_all-types_general_network,"48631,94","46,05","838,48","0,00","0,00","0,00","0,00%"
yd_kra_bed_generic_search_v5,"48431,89","125,47","1345,33","0,00","0,00","0,00","0,00%"
yd_nnov_couches_kreslo_all-types_network,"48325,54","15,61","661,99","0,00","0,00","0,00","0,00%"
yd_msk_couches_obivka_selling-words_search-v2,"48229,56","88,98","1555,79","0,00","0,13","0,00","0,14%"
yd_smol_couches_all-types_general_network_a,"47365,76","44,56","2152,99","0,00","0,00","0,00","0,00%"
yd_kazan_couches_all-types_network_v4_old,"46971,35","20,40","1118,37","0,00","0,00","0,00","0,00%"
yd_kra_smart_banner_retargeting_new_prioritet,"46746,12","50,59","513,69","0,00","0,55","0,00","1,09%"
yd_yar_couches_kreslo_all-types_search,"46677,99","44,67","524,47","0,00","0,96","0,00","2,16%"
yd_msk_bedroom_bed_1-5-spalnaya_general-words_network-v2,"45713,12","182,85","662,51","0,00","0,00","0,00","0,00%"
yd_smol_couches_all-types_general_network_c,"45709,98","43,08","2688,82","0,00","0,00","0,00","0,00%"
yd_vor_couches_all-types_network_v4,"45569,78","15,57","469,79","0,00","0,00","0,00","0,00%"
yd_vlg_couches_all-types_general_network_b,"44768,03","45,17","895,36","0,00","2,01","0,00","4,46%"
yd_barn_couches_all-types_general_network_a,"44748,97","40,10","1065,45","0,00","0,00","0,00","0,00%"
yd_smol_couches_all-types_general_network_b,"44504,19","40,87","1711,70","0,00","0,00","0,00","0,00%"
yd_perm_couches_all-types_category_network,"44395,63","46,20","439,56","44395,63","0,78","0,00","1,68%"
yd_kra_competitors_big_network_ctr,"44126,85","84,53","787,98","0,00","2,00","0,00","2,36%"
yd_barn_couches_kreslo_all-types_search,"43953,62","34,31","697,68","0,00","1,34","0,00","3,91%"
yd_ros_dsa_pg_search,"43584,33","74,00","889,48","0,00","1,04","0,00","1,40%"
yd_kra_mebel_all-types_search,"43535,90","72,68","870,72","0,00","0,00","0,00","0,00%"
yd_ryz_competitors_big_network_ctr,"43326,37","71,03","1007,59","0,00","0,00","0,00","0,00%"
yd_vlg_couches_all-types_general_network_c,"43275,58","42,85","983,54","0,00","0,00","0,00","0,00%"
yd_msk_couches_straight_general-words_search-v2,"43187,18","93,68","959,72","0,00","0,73","0,00","0,78%"
yd_kra_couches_interes_network_cpa_old,"42256,76","75,86","899,08","0,00","0,87","0,00","1,15%"
yd_sim_couches_kreslo_all-types_search,"41834,74","43,00","853,77","0,00","0,00","0,00","0,00%"
yd_tmsk_couches_all-types_general_network,"41700,62","13,82","851,03","0,00","0,01","0,00","0,08%"
yd_tmsk_couches_all-types_category_network,"41665,57","48,62","496,02","0,00","2,72","0,00","5,60%"
yd_nnov_mebel_all-types_network,"41316,40","18,39","365,63","0,00","0,00","0,00","0,00%"
yd_kazan_korpus_mebel_search,"40575,85","80,83","1932,18","0,00","0,00","0,00","0,00%"
yd_msk_couches_mechanism_selling-words_search-v2_cpa-k,"40255,34","87,70","1059,35","0,00","4,97","0,00","5,67%"
yd_kra_couches_all-types_category_network,"40230,31","45,82","478,93","0,00","0,00","0,00","0,00%"
yd_yar_smart_banner_retargeting_new_prioritet,"40191,75","51,73","1148,34","0,00","0,00","0,00","0,00%"
yd_yar_couches_all-types_general_network_b,"39852,98","56,37","1245,41","0,00","0,01","0,00","0,02%"
yd_tmsk_smart_banner_retargeting_new_lal,"39736,31","18,77","294,34","0,00","0,00","0,00","0,00%"
yd_yar_couches_all-types_general_network_c,"39292,45","46,94","1227,89","0,00","0,02","0,00","0,05%"
yd_orel_couches_all-types_general_network,"38788,82","41,71","1020,76","0,00","0,00","0,00","0,00%"
yd_spb_korpus_gostinaya-mebel_search-v2,"38742,33","51,31","900,98","0,00","0,12","0,00","0,23%"
yd_ryz_couches_all-types_category_network,"38685,42","43,91","921,08","0,00","0,00","0,00","0,00%"
yd_sim_couches_all-types_general_network_c,"38518,15","37,58","1100,52","0,00","0,00","0,00","0,00%"
yd_msk_couches_mkb_search-v2,"38357,53","852,39","2130,97","0,00","1,91","0,00","0,22%"
yd_msk_couches_straight_selling-words_search-v2,"38354,83","124,53","1743,40","0,00","2,22","0,00","1,78%"
yd_sta_couches_all-types_general_network_b,"38267,55","42,43","517,13","0,00","0,00","0,00","0,00%"
yd_tyum_couches_all-types_category_network,"38015,40","53,85","550,95","0,00","0,00","0,00","0,00%"
yd_sta_couches_all-types_general_network_c,"37623,22","38,59","616,77","0,00","0,00","0,00","0,00%"
yd_tamb_couches_all-types_general_network,"37433,46","31,48","1386,42","0,00","0,00","0,00","0,00%"
yd_barn_couches_all-types_general_network_b,"37091,30","34,06","904,67","0,00","1,06","0,00","3,12%"
yd_sim_couches_all-types_general_network_b,"36904,20","33,73","946,26","0,00","0,00","0,00","0,00%"
yd_sarat_couches_kreslo_all-types_search,"36811,49","30,00","518,47","0,00","0,39","0,00","1,31%"
yd_lip_couches_all-types_general_network,"36791,28","14,68","1268,66","0,00","0,00","0,00","0,00%"
